name,url
3 Disciples Brewing,https://www.ratebeer.com/brewers/3-disciples-brewing/29140/
411 Broadway Spirits and Ales,https://www.ratebeer.com/brewers/411-broadway-spirits-and-ales/49389/
Abnormal Beer Company,https://www.ratebeer.com/brewers/abnormal-beer-company/21473/
Absolution Brewing Company,https://www.ratebeer.com/brewers/absolution-brewing-company/19249/
Acoustic Ales Brewing Experiment,https://www.ratebeer.com/brewers/acoustic-ales-brewing-experiment/15916/
Alaro Craft Brewery,https://www.ratebeer.com/brewers/alaro-craft-brewery/37104/
Ale House Brewing Company,https://www.ratebeer.com/brewers/ale-house-brewing-company/26906/
Ale Industries,https://www.ratebeer.com/brewers/ale-industries/10397/
AleSmith Brewing Company,https://www.ratebeer.com/brewers/alesmith-brewing-company/432/
Align Brewing,https://www.ratebeer.com/brewers/align-brewing/32102/
All Season Brewing,https://www.ratebeer.com/brewers/all-season-brewing/45368/
All-American Brew Works,https://www.ratebeer.com/brewers/all-american-brew-works/37224/
Alpine Village Hofbrau,https://www.ratebeer.com/brewers/alpine-village-hofbrau/1902/
Amalgamation Brewing Company,https://www.ratebeer.com/brewers/amalgamation-brewing-company/42326/
Amplified Ale Works,https://www.ratebeer.com/brewers/amplified-ale-works/15292/
Anchor Brewing Company (Sapporo),https://www.ratebeer.com/brewers/anchor-brewing-company-sapporo/11/
Angel City Brewing Company (A&S Brewing - Boston Beer Co.),https://www.ratebeer.com/brewers/angel-city-brewing-company-as-brewing-boston-beer-co/433/
Antigua Brewing Company (USA),https://www.ratebeer.com/brewers/antigua-brewing-company-usa/49066/
Arts District Brewing,https://www.ratebeer.com/brewers/arts-district-brewing/25347/
Ass Kisser Ales,https://www.ratebeer.com/brewers/ass-kisser-ales/11758/
"Asylum Brewing (Anaheim, CA)",https://www.ratebeer.com/brewers/asylum-brewing-anaheim-ca/31247/
At Ease Brewing Company,https://www.ratebeer.com/brewers/at-ease-brewing-company/40093/
Ataraxia Aleworks,https://www.ratebeer.com/brewers/ataraxia-aleworks/47381/
Attitude Brewing Company,https://www.ratebeer.com/brewers/attitude-brewing-company/41643/
Automatic Brewing Company (Blind Lady Ale House),https://www.ratebeer.com/brewers/automatic-brewing-company-blind-lady-ale-house/10173/
Aztec Brewing Company,https://www.ratebeer.com/brewers/aztec-brewing-company/13992/
Back Street Brewery (Vista),https://www.ratebeer.com/brewers/back-street-brewery-vista/9554/
Backstreet Brewery,https://www.ratebeer.com/brewers/backstreet-brewery/24303/
Ballast Point Brewing Company (Kings & Convicts),https://www.ratebeer.com/brewers/ballast-point-brewing-company-kings-convicts/434/
Bang The Drum Brewery,https://www.ratebeer.com/brewers/bang-the-drum-brewery/18669/
Barebottle Brewing Company,https://www.ratebeer.com/brewers/barebottle-brewing-company/27636/
Barrel and Stave Brewing Company,https://www.ratebeer.com/brewers/barrel-and-stave-brewing-company/49599/
Barrel Head Brewhouse,https://www.ratebeer.com/brewers/barrel-head-brewhouse/19672/
