name,url,city,type,established,beverage_count
 101 Cider House,https://www.ratebeer.com/brewers/101-cider-house/23656/,Westlake Village,Cidery,2015,   21
 AmByth Estate,https://www.ratebeer.com/brewers/ambyth-estate/38876/,Templeton,Cidery,2019,   3
 AppleGarden Farm,https://www.ratebeer.com/brewers/applegarden-farm/17637/,Tomales,Cidery,2013,   1
 Bardos Cidery,https://www.ratebeer.com/brewers/bardos-cidery/46228/,Sonoma,Cidery,2021,   2
 Bivouac Ciderworks,https://www.ratebeer.com/brewers/bivouac-ciderworks/34396/,San Diego,Cidery,2018,   16
 Blindwood Cider,https://www.ratebeer.com/brewers/blindwood-cider/44045/,San Leandro,Cidery,2020,   1
 Bonny Doon Vineyard,https://www.ratebeer.com/brewers/bonny-doon-vineyard/16663/,Santa Cruz,Cidery,2013,   2
 Boonville Cider House,https://www.ratebeer.com/brewers/boonville-cider-house/19738/,Boonville,Cidery,2014,   2
 Bristols Cider,https://www.ratebeer.com/brewers/bristols-cider/16930/,Paso Robles,Cidery,2013,   21
 Brooks Cider,https://www.ratebeer.com/brewers/brooks-cider/23655/,San Francisco,Cidery,2015,   1
 California Cider Company,https://www.ratebeer.com/brewers/california-cider-company/523/,Sebastopol,Cidery,1986,   18
 Castellum Ciders,https://www.ratebeer.com/brewers/castellum-ciders/50901/,San Diego,Cidery,2023,   2
 Cider Brothers,https://www.ratebeer.com/brewers/cider-brothers/19947/,Lodi,Cidery,2014,   9
 Common Cider Company,https://www.ratebeer.com/brewers/common-cider-company/18159/,Auburn,Cidery,2013,   19
 Coturri Winery,https://www.ratebeer.com/brewers/coturri-winery/38877/,Glen Ellen,Cidery,2019,   2
 Crooked City Cider,https://www.ratebeer.com/brewers/crooked-city-cider/32202/,Oakland,Cidery,2017,   5
 Devoto Orchards,https://www.ratebeer.com/brewers/devoto-orchards/18771/,Sebastopol,Cidery,2014,   4
 Domaine Le Mieux / See Canyon Cider,https://www.ratebeer.com/brewers/domaine-le-mieux-see-canyon-cider/22270/,San Luis Obispo,Cidery,2010,   3
 Drew Family Cellars,https://www.ratebeer.com/brewers/drew-family-cellars/37928/,Philo,Cidery,2018,   1
 Ethic Ciders,https://www.ratebeer.com/brewers/ethic-ciders/46037/,Sebastopol,Cidery,2021,   1
 Everett Family Farm (Soquel Cider),https://www.ratebeer.com/brewers/everett-family-farm-soquel-cider/22272/,Soquel,Cidery,2015,   3
 Far West Cider Company,https://www.ratebeer.com/brewers/far-west-cider-company/28693/,Richmond,Cidery,2016,   18
 Fitzpatrick Winery,https://www.ratebeer.com/brewers/fitzpatrick-winery/8770/,Fair Play,Cidery,2007,   1
 FoxCraft Hard Cider Company,https://www.ratebeer.com/brewers/foxcraft-hard-cider-company/22480/,Santa Rosa,Cidery,2015,   4
 Goat Rock Cider Company,https://www.ratebeer.com/brewers/goat-rock-cider-company/44452/,Petaluma,Cidery,2020,   5
 Golden State Cider,https://www.ratebeer.com/brewers/golden-state-cider/21950/,Sebastopol,Cidery,2015,   13
 Gowans Cider & Orchards,https://www.ratebeer.com/brewers/gowans-cider-orchards/24730/,Philo,Cidery,2015,   8
 Guthrie CiderWorks,https://www.ratebeer.com/brewers/guthrie-ciderworks/36971/,San Diego,Cidery,2018,   11
 Hemly Cider,https://www.ratebeer.com/brewers/hemly-cider/27648/,Courtland,Cidery,2016,   8
 Hidden Star Orchards,https://www.ratebeer.com/brewers/hidden-star-orchards/30876/,Linden,Cidery,2017,   3
 Honest Abe Hard Cider & Mead,https://www.ratebeer.com/brewers/honest-abe-hard-cider-mead/27664/,Carson,Cidery,2016,   26
