name,city,type,beercount,est,closed,url
 217 Brew Works,Wilson,Microbrewery, 13,2017,2020,https://www.ratebeer.com/brewers/217-brew-works/30902/
 3rd Degree Brewhouse,Fuquay Varina,Microbrewery, 4,2018,2021,https://www.ratebeer.com/brewers/3rd-degree-brewhouse/37979/
 Altamont Brewing Company,Asheville,Brewpub/Brewery, 21,2013,2016,https://www.ratebeer.com/brewers/altamont-brewing-company/16026/
 Apex Brewing Company (NC),Apex,Microbrewery, 1,2004,,https://www.ratebeer.com/brewers/apex-brewing-company-nc/4858/
 Azalea Coast Brewing Company,Wilmington,Microbrewery, 9,2006,,https://www.ratebeer.com/brewers/azalea-coast-brewing-company/7820/
 Barking Duck Brewing Company,Mint Hill,Microbrewery, 16,2014,2018,https://www.ratebeer.com/brewers/barking-duck-brewing-company/20739/
 Barrel Culture Brewing and Blending,Durham,Microbrewery, 103,2017,2022,https://www.ratebeer.com/brewers/barrel-culture-brewing-and-blending/32894/
 Basic Brewery,Hendersonville,Microbrewery, 13,2016,2017,https://www.ratebeer.com/brewers/basic-brewery/26820/
 Bayne Brewing Company,Cornelius,Microbrewery, 16,2014,2018,https://www.ratebeer.com/brewers/bayne-brewing-company/21622/
 BlackJack Brewing Company,Raleigh,Microbrewery, 4,2015,2015,https://www.ratebeer.com/brewers/blackjack-brewing-company/23414/
 Blind Squirrel Brewery,Plumtree,Microbrewery, 23,2013,2020,https://www.ratebeer.com/brewers/blind-squirrel-brewery/16430/
 Bold Missy Brewery,Charlotte,Microbrewery, 22,2017,2020,https://www.ratebeer.com/brewers/bold-missy-brewery/31083/
 Boylan Bridge Brewpub,Raleigh,Brewpub, 21,2009,2020,https://www.ratebeer.com/brewers/boylan-bridge-brewpub/10343/
 Brice's Brewing Company,Raleigh,Brewpub, 33,2017,2020,https://www.ratebeer.com/brewers/brice39s-brewing-company/30911/
 Carolina Beer Company,Mooresville,Client Brewer, 24,1997,,https://www.ratebeer.com/brewers/carolina-beer-company/1559/
 Check Six Brewing Company,Southport,Microbrewery, 28,2015,2019,https://www.ratebeer.com/brewers/check-six-brewing-company/24806/
 Chesapeake Bay Brewing (formerly Rock Creek),Raleigh ,Microbrewery, 14,1999,,https://www.ratebeer.com/brewers/chesapeake-bay-brewing-formerly-rock-creek/152/
 Collaboratory (CANarchy Craft Brewery Collective),Asheville,Brewpub, 5,2019,2020,https://www.ratebeer.com/brewers/collaboratory-canarchy-craft-brewery-collective/40720/
