name,url,city,type,established,beverage_count
 13 Point Brewing,https://www.ratebeer.com/brewers/13-point-brewing/47870/,Lemon Grove,Microbrewery,2021,   5
 14 Cannons Brewing Company,https://www.ratebeer.com/brewers/14-cannons-brewing-company/32821/,Westlake Village,Microbrewery,2017,   13
 1849 Brewing Company,https://www.ratebeer.com/brewers/1849-brewing-company/40307/,Grass Valley,Brewpub,2019,   13
 1886 Brewing Company,https://www.ratebeer.com/brewers/1886-brewing-company/44607/,Orange,Brewpub/Brewery,2020,   15
 19 Crimes Winery (Brewery),https://www.ratebeer.com/brewers/19-crimes-winery-brewery/40268/,Napa,Contract Brewer,2019,   4
 21st Amendment Brewery,https://www.ratebeer.com/brewers/21st-amendment-brewery/1391/,San Leandro,Brewpub/Brewery,2000,   288
 29 Brews @ Spotlight 29 Casino,https://www.ratebeer.com/brewers/29-brews-spotlight-29-casino/44856/,Coachella,Brewpub,2020,   4
 2nd Phase Brewing,https://www.ratebeer.com/brewers/2nd-phase-brewing/46294/,Bakersfield,Microbrewery,2021,   1
 3 Disciples Brewing,https://www.ratebeer.com/brewers/3-disciples-brewing/29140/,Santa Rosa,Microbrewery,2016,   20
 3 Iron Brewing Company,https://www.ratebeer.com/brewers/3-iron-brewing-company/22481/,Colton,Microbrewery,2015,   18
 411 Broadway Spirits and Ales,https://www.ratebeer.com/brewers/411-broadway-spirits-and-ales/49389/,Fresno,Commercial Brewery,2022,   3
 47 Hills Brewing Company,https://www.ratebeer.com/brewers/47-hills-brewing-company/31162/,South San Francisco,Microbrewery,2017,   19
 5 Star Hard Seltzer,https://www.ratebeer.com/brewers/5-star-hard-seltzer/50440/,Tehachapi,Microbrewery,2022,   1
 8 Bit Brewing (CA),https://www.ratebeer.com/brewers/8-bit-brewing-ca/25622/,Murrieta,Brewpub,2016,   87
 800 Degrees,https://www.ratebeer.com/brewers/800-degrees/35634/,Sara Monica,Commercial Brewery,2018,   1
 8one8 Brewing,https://www.ratebeer.com/brewers/8one8-brewing/45127/,Canoga Park,Microbrewery,2021,   19
 927 Beer Company,https://www.ratebeer.com/brewers/927-beer-company/14825/,Cambria,Microbrewery,2012,   26
 Abnormal Beer Company,https://www.ratebeer.com/brewers/abnormal-beer-company/21473/,San Diego,Brewpub,2015,   200
 Absolution Brewing Company,https://www.ratebeer.com/brewers/absolution-brewing-company/19249/,Torrance,Microbrewery,2014,   54
 Acoustic Ales Brewing Experiment,https://www.ratebeer.com/brewers/acoustic-ales-brewing-experiment/15916/,San Diego,Microbrewery,2013,   86
 Adobe Creek Brewing,https://www.ratebeer.com/brewers/adobe-creek-brewing/32581/,Novato,Microbrewery,2017,   13
 Aftershock Brewing Company,https://www.ratebeer.com/brewers/aftershock-brewing-company/15364/,Temecula,Microbrewery,2012,   90
 Alameda Island Brewing Company,https://www.ratebeer.com/brewers/alameda-island-brewing-company/22116/,Alameda,Microbrewery,2015,   48
 Alaro Craft Brewery,https://www.ratebeer.com/brewers/alaro-craft-brewery/37104/,Sacramento,Brewpub,2018,   29
 Ale House Brewing Company,https://www.ratebeer.com/brewers/ale-house-brewing-company/26906/,San Jose,Microbrewery,2016,   1
 Ale Industries,https://www.ratebeer.com/brewers/ale-industries/10397/,Oakland,Microbrewery,2009,   92
 AleSmith Brewing Company,https://www.ratebeer.com/brewers/alesmith-brewing-company/432/,San Diego,Microbrewery,1995,   567
 Align Brewing,https://www.ratebeer.com/brewers/align-brewing/32102/,San Diego,Brewpub/Brewery,2017,   5
 All Season Brewing,https://www.ratebeer.com/brewers/all-season-brewing/45368/,Los Angeles,Brewpub/Brewery,2021,   5
 All-American Brew Works,https://www.ratebeer.com/brewers/all-american-brew-works/37224/,Anaheim,Microbrewery,2018,   16
 Almanac Beer Company,https://www.ratebeer.com/brewers/almanac-beer-company/13058/,Alameda,Brewpub/Brewery,2011,   304
 Alosta Brewing Company,https://www.ratebeer.com/brewers/alosta-brewing-company/17784/,Covina,Microbrewery,2013,   29
 Alpenglow Beer Company,https://www.ratebeer.com/brewers/alpenglow-beer-company/27271/,Lafayette,Client Brewer,2016,   1
 Alpha Acid Brewing Company,https://www.ratebeer.com/brewers/alpha-acid-brewing-company/21468/,Belmont,Microbrewery,2014,   178
 Alpine Beer Company (CA),https://www.ratebeer.com/brewers/alpine-beer-company-ca/2776/,Alpine,Microbrewery,2002,   142
 Alpine Village Hofbrau,https://www.ratebeer.com/brewers/alpine-village-hofbrau/1902/,Torrance,Brewpub,2001,   3
 Altamont Beer Works,https://www.ratebeer.com/brewers/altamont-beer-works/14781/,Livermore,Microbrewery,2012,   145
 Alvarado Street Brewery,https://www.ratebeer.com/brewers/alvarado-street-brewery/19601/,Monterey,Brewpub/Brewery,2014,   505
 Amador Brewing Company,https://www.ratebeer.com/brewers/amador-brewing-company/23189/,Plymouth,Brewpub/Brewery,2015,   16
 Amalgamation Brewing Company,https://www.ratebeer.com/brewers/amalgamation-brewing-company/42326/,Fresno,Microbrewery,2020,   5
 Amarok Brewing,https://www.ratebeer.com/brewers/amarok-brewing/46601/,Glendale,Contract Brewer,2021,   3
 Ambitious Ales,https://www.ratebeer.com/brewers/ambitious-ales/41537/,Long Beach,Microbrewery,2019,   7
 Amplified Ale Works,https://www.ratebeer.com/brewers/amplified-ale-works/15292/,San Diego,Microbrewery,2012,   104
 Anacapa Brewing Company,https://www.ratebeer.com/brewers/anacapa-brewing-company/5873/,Ventura,Brewpub,2005,   50
 Anchor Brewing Company (Sapporo),https://www.ratebeer.com/brewers/anchor-brewing-company-sapporo/11/,San Francisco,Commercial Brewery,2001,   137
 Anderson Valley Brewing Company,https://www.ratebeer.com/brewers/anderson-valley-brewing-company/60/,Boonville,Microbrewery,1986,   121
 Angel City Brewing Company (A&S Brewing - Boston Beer Co.),https://www.ratebeer.com/brewers/angel-city-brewing-company-as-brewing-boston-beer-co/433/,Los Angeles,Microbrewery,1999,   108
 Angry Horse Brewing,https://www.ratebeer.com/brewers/angry-horse-brewing/35224/,Montebello,Microbrewery,2018,   33
 Antigua Brewing Company (USA),https://www.ratebeer.com/brewers/antigua-brewing-company-usa/49066/,San Luis Obispo,Microbrewery,2022,   9
 Aqotango Brewing Company,https://www.ratebeer.com/brewers/aqotango-brewing-company/39771/,Vallejo,Client Brewer,2019,   3
 Arcana Brewing Company,https://www.ratebeer.com/brewers/arcana-brewing-company/15555/,Carlsbad,Microbrewery,2012,   38
 Archaic Brewing,https://www.ratebeer.com/brewers/archaic-brewing/25349/,Tustin,Brewpub,2015,   13
 Armistice Brewing Company,https://www.ratebeer.com/brewers/armistice-brewing-company/33899/,Richmond,Microbrewery,2017,   48
 Around The Horn Brewing Company,https://www.ratebeer.com/brewers/around-the-horn-brewing-company/47506/, Groveland,Microbrewery,2021,   23
 Arrogant Consortia,https://www.ratebeer.com/brewers/arrogant-consortia/28443/,Escondido,Microbrewery,1997,   28
 Arrow Lodge Brewing,https://www.ratebeer.com/brewers/arrow-lodge-brewing/29166/,Covina,Microbrewery,2016,   64
 Arsenal Urban Ales,https://www.ratebeer.com/brewers/arsenal-urban-ales/27711/,Pasadena,Microbrewery,2016,   7
 Artifex Brewing Company,https://www.ratebeer.com/brewers/artifex-brewing-company/20423/,San Clemente,Microbrewery,2014,   98
 Arts District Brewing,https://www.ratebeer.com/brewers/arts-district-brewing/25347/,Los Angeles,Microbrewery,2015,   64
 Ashuraya Beverage Company,https://www.ratebeer.com/brewers/ashuraya-beverage-company/20632/,Encino,Client Brewer,2014,   1
 Asian Brothers Brewing Company,https://www.ratebeer.com/brewers/asian-brothers-brewing-company/48087/,Isleton,Microbrewery,2021,   5
 Ass Kisser Ales,https://www.ratebeer.com/brewers/ass-kisser-ales/11758/,San Jose,Client Brewer,2010,   8
" Asylum Brewing (Anaheim, CA)",https://www.ratebeer.com/brewers/asylum-brewing-anaheim-ca/31247/,Anaheim,Microbrewery,2017,   14
 At Ease Brewing Company,https://www.ratebeer.com/brewers/at-ease-brewing-company/40093/,Sacramento,Brewpub,2019,   7
 Ataraxia Aleworks,https://www.ratebeer.com/brewers/ataraxia-aleworks/47381/,San Diego,Microbrewery,2021,   13
 Attitude Brewing Company,https://www.ratebeer.com/brewers/attitude-brewing-company/41643/,San Diego,Brewpub/Brewery,2019,   29
 Auburn Alehouse (CA),https://www.ratebeer.com/brewers/auburn-alehouse-ca/8572/,Auburn,Brewpub,2007,   83
 Automatic Brewing Company (Blind Lady Ale House),https://www.ratebeer.com/brewers/automatic-brewing-company-blind-lady-ale-house/10173/,San Diego,Brewpub/Brewery,2009,   111
 Aztec Brewing Company,https://www.ratebeer.com/brewers/aztec-brewing-company/13992/,Vista,Microbrewery,2012,   40
 Babes Bar-B-Que & Brewhouse,https://www.ratebeer.com/brewers/babes-bar-b-que-brewhouse/624/,Rancho Mirage,Brewpub,2002,   35
 Back Street Brewery (Irvine),https://www.ratebeer.com/brewers/back-street-brewery-irvine/10163/,Irvine,Brewpub/Brewery,2009,   1
 Back Street Brewery (Vista),https://www.ratebeer.com/brewers/back-street-brewery-vista/9554/,Vista,Brewpub/Brewery,2008,   39
 Backstreet Brewery,https://www.ratebeer.com/brewers/backstreet-brewery/24303/,Anaheim,Microbrewery,2015,   49
 Bagby Beer Company,https://www.ratebeer.com/brewers/bagby-beer-company/20735/,Oceanside,Brewpub,2014,   101
 Ballast Point Brewing Company (Kings & Convicts),https://www.ratebeer.com/brewers/ballast-point-brewing-company-kings-convicts/434/,San Diego,Microbrewery,1996,   771
