name,url,city,type,established,beverage_count
 Beekman & Beekman,https://www.ratebeer.com/brewers/beekman-beekman/10907/,Hughson,Meadery,2009,   3
 Bjorn Mead,https://www.ratebeer.com/brewers/bjorn-mead/16591/,Waterford,Meadery,2013,   3
 Bronto Mead,https://www.ratebeer.com/brewers/bronto-mead/30861/,San Diego,Meadery,2017,   5
 Chaucer's Winery,https://www.ratebeer.com/brewers/chaucers-winery/2465/,Soquel,Meadery,1933,   3
 Elsa Wine & Mead,https://www.ratebeer.com/brewers/elsa-wine-mead/8457/,Orange,Meadery,2007,   4
 Enat Tej Winery,https://www.ratebeer.com/brewers/enat-tej-winery/10607/,Oakland,Meadery,2009,   2
 Field Recordings,https://www.ratebeer.com/brewers/field-recordings/49145/,"Paso Robles, CA",Meadery,2022,   1
 Golden Coast Mead,https://www.ratebeer.com/brewers/golden-coast-mead/13600/,Oceanside,Meadery,2011,   28
 Heidrun Meadery,https://www.ratebeer.com/brewers/heidrun-meadery/6721/,Point Reyes Station,Meadery,2006,   18
 Honey Pot Meadery,https://www.ratebeer.com/brewers/honey-pot-meadery/29283/,Anaheim,Meadery,2016,   20
 Lost Cause Meadery,https://www.ratebeer.com/brewers/lost-cause-meadery/33440/,San Diego,Meadery,2017,   64
 Meadiocrity Mead,https://www.ratebeer.com/brewers/meadiocrity-mead/30954/,San Marcos,Meadery,2016,   3
 Orit Tej,https://www.ratebeer.com/brewers/orit-tej/48447/,Vallejo,Meadery,2022,   1
 Strad Meadery,https://www.ratebeer.com/brewers/strad-meadery/30661/,Fair Oaks,Meadery,2017,   12
 The Apiary Ciderworks and Meadery,https://www.ratebeer.com/brewers/the-apiary-ciderworks-and-meadery/44164/,Carpinteria,Meadery,2020,   8
 The Honey Wine Company,https://www.ratebeer.com/brewers/the-honey-wine-company/24743/,San Francisco,Meadery,2015,   2
 Twisted Horn Mead & Cider,https://www.ratebeer.com/brewers/twisted-horn-mead-cider/30320/,Vista,Meadery,2017,   10
