name,url,city,type,established,beverage_count
 12 Bones Brewing,https://www.ratebeer.com/brewers/12-bones-brewing/40107/,Arden,Brewpub,2019,   10
 1718 Brewing Ocracoke,https://www.ratebeer.com/brewers/1718-brewing-ocracoke/35300/,Ocracoke,Brewpub,2018,   34
 3rd Rock Brewing Company,https://www.ratebeer.com/brewers/3rd-rock-brewing-company/27344/,Trenton,Microbrewery,2016,   14
 638 Brewing Company,https://www.ratebeer.com/brewers/638-brewing-company/38962/,Winston-Salem,Client Brewer,2019,   4
 7 Clans Brewing,https://www.ratebeer.com/brewers/7-clans-brewing/35021/,Cherokee,Client Brewer,2018,   7
 All Sevens Brewing,https://www.ratebeer.com/brewers/all-sevens-brewing/36948/,Asheville,Microbrewery,2018,   12
 Altered State Brewing Company,https://www.ratebeer.com/brewers/altered-state-brewing-company/44848/,Raleigh,Microbrewery,2020,   7
 Ancillary* Fermentation,https://www.ratebeer.com/brewers/ancillary-fermentation/37974/,Raleigh,Commercial Brewery,2018,   18
 Andrews Brewing Company,https://www.ratebeer.com/brewers/andrews-brewing-company/18735/,Andrews,Microbrewery,2014,   24
 Angry Troll Brewing,https://www.ratebeer.com/brewers/angry-troll-brewing/30127/,Elkin,Microbrewery,2017,   17
 Appalachian Grail Brewing Company,https://www.ratebeer.com/brewers/appalachian-grail-brewing-company/48590/,Hayesville,Microbrewery,2022,   7
 Appalachian Mountain Brewery (Craft Brew Alliance - AB InBev),https://www.ratebeer.com/brewers/appalachian-mountain-brewery-craft-brew-alliance-ab-inbev/16180/,Boone,Microbrewery,2013,   148
 Archetype Brewing,https://www.ratebeer.com/brewers/archetype-brewing/32342/,Asheville,Microbrewery,2017,   45
 Armored Cow Brewing,https://www.ratebeer.com/brewers/armored-cow-brewing/42461/,Charlotte,Microbrewery,2020,   12
 Asheville Brewing Company,https://www.ratebeer.com/brewers/asheville-brewing-company/3470/,Asheville,Brewpub,2003,   102
 Ass Clown Brewing Company,https://www.ratebeer.com/brewers/ass-clown-brewing-company/13421/,Cornelius,Microbrewery,2011,   173
 Aviator Brewing Company,https://www.ratebeer.com/brewers/aviator-brewing-company/10050/,Fuquay Varina,Microbrewery,2008,   67
 Balsam Falls Brewing Company,https://www.ratebeer.com/brewers/balsam-falls-brewing-company/35306/,Sylva,Microbrewery,2018,   37
 Bark Brewing Company,https://www.ratebeer.com/brewers/bark-brewing-company/37807/,Greensboro,Brewpub,2018,   1
 BDD Brewing Company,https://www.ratebeer.com/brewers/bdd-brewing-company/37980/,Rocky Mount,Microbrewery,2018,   9
 Bear Creek Brews,https://www.ratebeer.com/brewers/bear-creek-brews/14323/,Bear Creek,Microbrewery,2012,   9
 Bearded Barrel Brewery,https://www.ratebeer.com/brewers/bearded-barrel-brewery/42472/,,Microbrewery,2020,   2
 Bearded Bee Brewing Co,https://www.ratebeer.com/brewers/bearded-bee-brewing-co/44387/,Wendell,Microbrewery,2020,   5
 BearWaters Brewing Company,https://www.ratebeer.com/brewers/bearwaters-brewing-company/14490/,Canton,Microbrewery,2012,   48
 Beech Mountain Brewing Company,https://www.ratebeer.com/brewers/beech-mountain-brewing-company/18796/,Beech Mountain,Microbrewery,2014,   15
 Beer Army Combat Brewery,https://www.ratebeer.com/brewers/beer-army-combat-brewery/16767/,Trenton,Microbrewery,2012,   12
 Bhramari Brewing Co.,https://www.ratebeer.com/brewers/bhramari-brewing-co/25747/,Asheville,Brewpub,2016,   228
 Big Boss Brewing Company,https://www.ratebeer.com/brewers/big-boss-brewing-company/4222/,Raleigh,Brewpub/Brewery,2003,   96
 Big Game Brewing,https://www.ratebeer.com/brewers/big-game-brewing/39665/,Trenton,Microbrewery,2019,   3
 Bill's Front Porch Pub and Brewery,https://www.ratebeer.com/brewers/bills-front-porch-pub-and-brewery/28942/,Wilmington ,Brewpub/Brewery,2016,   37
 Biltmore Brewing Company,https://www.ratebeer.com/brewers/biltmore-brewing-company/11684/,Asheville,Client Brewer,2010,   4
 Birdsong Brewing Company,https://www.ratebeer.com/brewers/birdsong-brewing-company/13469/,Charlotte,Microbrewery,2011,   86
 Black Creek Brewery (US),https://www.ratebeer.com/brewers/black-creek-brewery-us/35307/,Roxboro,Microbrewery,2018,   31
 Black Mountain Brewing,https://www.ratebeer.com/brewers/black-mountain-brewing/37981/,Black Mountain,Microbrewery,2018,   16
 Blowing Rock Brewing Company,https://www.ratebeer.com/brewers/blowing-rock-brewing-company/11031/,Blowing Rock,Brewpub/Brewery,2009,   46
 Blue Blaze Brewing,https://www.ratebeer.com/brewers/blue-blaze-brewing/20413/,Charlotte,Microbrewery,2014,   21
 Blue Ghost Brewing Company,https://www.ratebeer.com/brewers/blue-ghost-brewing-company/31103/,Fletcher,Microbrewery,2016,   28
 Blue Mountain Pizza and Brew Pub (NC),https://www.ratebeer.com/brewers/blue-mountain-pizza-and-brew-pub-nc/22645/,Weaverville,Brewpub/Brewery,2015,   34
 Bombshell Beer Company,https://www.ratebeer.com/brewers/bombshell-beer-company/17169/,Holly Springs,Microbrewery,2013,   91
 Bond Brothers Beer Company,https://www.ratebeer.com/brewers/bond-brothers-beer-company/26284/,Cary,Microbrewery,2016,   143
 Boojum Brewing Company,https://www.ratebeer.com/brewers/boojum-brewing-company/22990/,Waynesville,Microbrewery,2015,   44
 Boondocks Brewing,https://www.ratebeer.com/brewers/boondocks-brewing/18320/,West Jefferson,Brewpub/Brewery,2013,   27
 Booneshine Brewing Company,https://www.ratebeer.com/brewers/booneshine-brewing-company/27395/,Boone,Brewpub,2016,   41
 BottleTree Beer Company,https://www.ratebeer.com/brewers/bottletree-beer-company/11804/,Tryon,Client Brewer,2010,   2
 Brevard Brewing Company,https://www.ratebeer.com/brewers/brevard-brewing-company/14736/,Brevard ,Microbrewery,2012,   17
 Brewery 99,https://www.ratebeer.com/brewers/brewery-99/37982/,New Bern,Microbrewery,2018,   6
 Brewery Bhavana,https://www.ratebeer.com/brewers/brewery-bhavana/31311/,Raleigh ,Brewpub/Brewery,2017,   79
 Brick Tree Brewing Co.,https://www.ratebeer.com/brewers/brick-tree-brewing-co/47420/,Lincolnton,Microbrewery,2021,   1
 Bright Light Brewing Company,https://www.ratebeer.com/brewers/bright-light-brewing-company/34280/,Fayetteville,Microbrewery,2018,   10
 Bright Penny Brewing,https://www.ratebeer.com/brewers/bright-penny-brewing/40354/,Mebane,Brewpub/Brewery,2019,   5
 Broomtail Craft Brews,https://www.ratebeer.com/brewers/broomtail-craft-brews/19710/,Wilmington,Microbrewery,2014,   28
 Brouwerij Cursus Keme,https://www.ratebeer.com/brewers/brouwerij-cursus-keme/37983/,Asheville,Microbrewery,2018,   21
 Brown Truck Brewery,https://www.ratebeer.com/brewers/brown-truck-brewery/26037/,High Point,Brewpub/Brewery,2016,   88
 Brüeprint Brewing Company,https://www.ratebeer.com/brewers/brueprint-brewing-company/19383/,Apex,Microbrewery,2014,   32
 BrÜtopia Brewing Company,https://www.ratebeer.com/brewers/brutopia-brewing-company/37985/,New Bern,Microbrewery,2018,   4
 Bull City Burger and Brewery,https://www.ratebeer.com/brewers/bull-city-burger-and-brewery/12802/, Durham,Brewpub/Brewery,2011,   70
 Bull Durham Beer Company,https://www.ratebeer.com/brewers/bull-durham-beer-company/22859/,Durham,Microbrewery,2015,   7
 Burial Beer Company,https://www.ratebeer.com/brewers/burial-beer-company/16816/,Asheville,Microbrewery,2013,   725
 Burlington Beer Works,https://www.ratebeer.com/brewers/burlington-beer-works/39705/,Burlington,Brewpub,2019,   6
 Burlington Brew Works,https://www.ratebeer.com/brewers/burlington-brew-works/39695/,Burlington ,Brewpub/Brewery,2019,   6
 Burning Blush Brewery,https://www.ratebeer.com/brewers/burning-blush-brewery/47912/,Mills River,Brewpub/Brewery,2019,   35
 Button Down Brewing Company,https://www.ratebeer.com/brewers/button-down-brewing-company/46807/,Raleigh,Contract Brewer,2021,   1
 Buzzed Viking Brewing Co. & Meadery,https://www.ratebeer.com/brewers/buzzed-viking-brewing-co-meadery/49914/,Concord,Brewpub,2022,   11
 Cabarrus Brewing Company,https://www.ratebeer.com/brewers/cabarrus-brewing-company/27495/,Concord,Microbrewery,2016,   26
 Camelback Brewing Company,https://www.ratebeer.com/brewers/camelback-brewing-company/37986/,Sanford,Microbrewery,2018,   18
 Carolina Brewery,https://www.ratebeer.com/brewers/carolina-brewery/3257/,Chapel Hill,Brewpub/Brewery,2003,   43
 Carolina Brewing Company,https://www.ratebeer.com/brewers/carolina-brewing-company/569/,Holly Springs,Microbrewery,1999,   54
 Casita Brewing Company,https://www.ratebeer.com/brewers/casita-brewing-company/25321/,Wilson,Microbrewery,2015,   147
 Catawba Brewing Company,https://www.ratebeer.com/brewers/catawba-brewing-company/2883/,Morganton,Microbrewery,1999,   228
 Cavendish Brewing Company,https://www.ratebeer.com/brewers/cavendish-brewing-company/31054/,Gastonia,Brewpub/Brewery,2017,   23
 Cellarest Beer Project,https://www.ratebeer.com/brewers/cellarest-beer-project/45274/,Asheville,Microbrewery,2021,   23
 Clouds Brewing,https://www.ratebeer.com/brewers/clouds-brewing/27068/,Raleigh,Brewpub,2016,   26
 Commoners Brewing Company,https://www.ratebeer.com/brewers/commoners-brewing-company/35263/,Concord,Microbrewery,2018,   38
 Compass Rose Brewery,https://www.ratebeer.com/brewers/compass-rose-brewery/24455/,Raleigh,Microbrewery,2015,   45
 Craftboro Brewing Depot,https://www.ratebeer.com/brewers/craftboro-brewing-depot/43973/,Carrboro,Microbrewery,2020,   6
 Crank Arm Brewing,https://www.ratebeer.com/brewers/crank-arm-brewing/17319/,Raleigh ,Brewpub/Brewery,2013,   89
 Crystal Coast Brewing Company,https://www.ratebeer.com/brewers/crystal-coast-brewing-company/32292/,Atlantic Beach,Microbrewery,2017,   65
 Currahee Brewing Company,https://www.ratebeer.com/brewers/currahee-brewing-company/28083/,Franklin,Microbrewery,2016,   54
 D9 Brewing Company,https://www.ratebeer.com/brewers/d9-brewing-company/18422/,Cornelius,Microbrewery,2013,   123
 Deep River Brewing Co.,https://www.ratebeer.com/brewers/deep-river-brewing-co/16571/,Clayton,Microbrewery,2013,   62
 Devil's Logic Brewing,https://www.ratebeer.com/brewers/devil39s-logic-brewing/42244/,Charlotte,Brewpub/Brewery,2020,   20
 Dingo Dog Brewing Company,https://www.ratebeer.com/brewers/dingo-dog-brewing-company/37988/,Carrboro,Microbrewery,2018,   29
 Dirtbag Ales,https://www.ratebeer.com/brewers/dirtbag-ales/21167/,Hope Mills,Microbrewery,2014,   19
 Divine Barrel Brewing,https://www.ratebeer.com/brewers/divine-barrel-brewing/34883/,Charlotte,Microbrewery,2018,   100
 Double Barley Brewing,https://www.ratebeer.com/brewers/double-barley-brewing/18139/,Smithfield,Microbrewery,2013,   29
 Dry Falls Brewing Co.,https://www.ratebeer.com/brewers/dry-falls-brewing-co/37989/,Hendersonville,Microbrewery,2018,   13
 DSSOLVR,https://www.ratebeer.com/brewers/dssolvr/41263/,Asheville,Microbrewery,2019,   151
 Durty Bull Brewing Company,https://www.ratebeer.com/brewers/durty-bull-brewing-company/28728/,Durham,Microbrewery,2016,   64
 Ecusta Brewing Company,https://www.ratebeer.com/brewers/ecusta-brewing-company/31989/,Pisgah Forest,Microbrewery,2017,   42
 Edward Teach Beer Co.,https://www.ratebeer.com/brewers/edward-teach-beer-co/37990/,Wilmington,Microbrewery,2018,   18
 Eleven Lakes Brewing Company,https://www.ratebeer.com/brewers/eleven-lakes-brewing-company/31246/,Cornelius,Microbrewery,2017,   29
 Eluvium Brewing Co.,https://www.ratebeer.com/brewers/eluvium-brewing-co/35036/,Weaverville,Microbrewery,2018,   20
 Eurisko Beer Company,https://www.ratebeer.com/brewers/eurisko-beer-company/34932/,Asheville,Microbrewery,2018,   59
 Fainting Goat Brewery,https://www.ratebeer.com/brewers/fainting-goat-brewery/28703/,Fuqua-Varina,Microbrewery,2016,   20
 Fiddlin' Fish Brewing Company,https://www.ratebeer.com/brewers/fiddlin-fish-brewing-company/32875/,Winston-Salem,Microbrewery,2017,   33
 Fishtowne Brew House,https://www.ratebeer.com/brewers/fishtowne-brew-house/37992/,Beaufort,Microbrewery,2018,   5
 Flying Machine Brewing Company,https://www.ratebeer.com/brewers/flying-machine-brewing-company/37993/,Wilmington,Microbrewery,2018,   52
 Flytrap Brewing,https://www.ratebeer.com/brewers/flytrap-brewing/21157/,Wilmington,Microbrewery,2014,   51
 Fonta Flora Brewery,https://www.ratebeer.com/brewers/fonta-flora-brewery/18711/,Morganton,Microbrewery,2014,   293
 Foothills Brewing,https://www.ratebeer.com/brewers/foothills-brewing/6033/,Winston-Salem,Brewpub/Brewery,2005,   152
 Forgotten Road Ales,https://www.ratebeer.com/brewers/forgotten-road-ales/40353/,Graham,Brewpub/Brewery,2019,   24
 Fortnight Brewing Company,https://www.ratebeer.com/brewers/fortnight-brewing-company/18773/,Cary,Brewpub/Brewery,2014,   45
 Four Saints Brewing Company,https://www.ratebeer.com/brewers/four-saints-brewing-company/17143/,Asheboro,Microbrewery,2013,   57
 Fourth Creek Brewing,https://www.ratebeer.com/brewers/fourth-creek-brewing/38648/,Statesville,Microbrewery,2019,   18
 Free Range Brewing,https://www.ratebeer.com/brewers/free-range-brewing/23600/,Charlotte,Microbrewery,2015,   93
 French Broad Brewing,https://www.ratebeer.com/brewers/french-broad-brewing/2879/,Asheville,Microbrewery,2002,   43
 Frog Level Brewing Company,https://www.ratebeer.com/brewers/frog-level-brewing-company/13723/,Waynesville,Microbrewery,2011,   26
 Front Street Brewery (NC),https://www.ratebeer.com/brewers/front-street-brewery-nc/3066/,Wilmington,Brewpub,1995,   85
 Fullsteam Brewery,https://www.ratebeer.com/brewers/fullsteam-brewery/10570/,Durham,Microbrewery,2009,   199
 Funguys Brewing,https://www.ratebeer.com/brewers/funguys-brewing/36558/,Raleigh,Microbrewery,2018,   28
 Ghost Harbor Brewing Company,https://www.ratebeer.com/brewers/ghost-harbor-brewing-company/35092/,Elizabeth City,Microbrewery,2018,   35
