name,city,type,beercount,est,url
 12 Bones Brewing,Arden,Brewpub,   10,2019,https://www.ratebeer.com/brewers/12-bones-brewing/40107/
 1718 Brewing Ocracoke,Ocracoke,Brewpub,   34,2018,https://www.ratebeer.com/brewers/1718-brewing-ocracoke/35300/
 3rd Rock Brewing Company,Trenton,Microbrewery,   14,2016,https://www.ratebeer.com/brewers/3rd-rock-brewing-company/27344/
 638 Brewing Company,Winston-Salem,Client Brewer,   4,2019,https://www.ratebeer.com/brewers/638-brewing-company/38962/
 7 Clans Brewing,Cherokee,Client Brewer,   7,2018,https://www.ratebeer.com/brewers/7-clans-brewing/35021/
 All Sevens Brewing,Asheville,Microbrewery,   12,2018,https://www.ratebeer.com/brewers/all-sevens-brewing/36948/
 Altered State Brewing Company,Raleigh,Microbrewery,   7,2020,https://www.ratebeer.com/brewers/altered-state-brewing-company/44848/
 Ancillary* Fermentation,Raleigh,Commercial Brewery,   18,2018,https://www.ratebeer.com/brewers/ancillary-fermentation/37974/
 Andrews Brewing Company,Andrews,Microbrewery,   24,2014,https://www.ratebeer.com/brewers/andrews-brewing-company/18735/
 Angry Troll Brewing,Elkin,Microbrewery,   17,2017,https://www.ratebeer.com/brewers/angry-troll-brewing/30127/
 Appalachian Grail Brewing Company,Hayesville,Microbrewery,   7,2022,https://www.ratebeer.com/brewers/appalachian-grail-brewing-company/48590/
 Appalachian Mountain Brewery (Craft Brew Alliance - AB InBev),Boone,Microbrewery,   148,2013,https://www.ratebeer.com/brewers/appalachian-mountain-brewery-craft-brew-alliance-ab-inbev/16180/
 Archetype Brewing,Asheville,Microbrewery,   45,2017,https://www.ratebeer.com/brewers/archetype-brewing/32342/
 Armored Cow Brewing,Charlotte,Microbrewery,   12,2020,https://www.ratebeer.com/brewers/armored-cow-brewing/42461/
 Asheville Brewing Company,Asheville,Brewpub,   102,2003,https://www.ratebeer.com/brewers/asheville-brewing-company/3470/
 Ass Clown Brewing Company,Cornelius,Microbrewery,   173,2011,https://www.ratebeer.com/brewers/ass-clown-brewing-company/13421/
 Aviator Brewing Company,Fuquay Varina,Microbrewery,   67,2008,https://www.ratebeer.com/brewers/aviator-brewing-company/10050/
 Balsam Falls Brewing Company,Sylva,Microbrewery,   37,2018,https://www.ratebeer.com/brewers/balsam-falls-brewing-company/35306/
 Bark Brewing Company,Greensboro,Brewpub,   1,2018,https://www.ratebeer.com/brewers/bark-brewing-company/37807/
 BDD Brewing Company,Rocky Mount,Microbrewery,   9,2018,https://www.ratebeer.com/brewers/bdd-brewing-company/37980/
 Bear Creek Brews,Bear Creek,Microbrewery,   9,2012,https://www.ratebeer.com/brewers/bear-creek-brews/14323/
 Bearded Barrel Brewery,,Microbrewery,   2,2020,https://www.ratebeer.com/brewers/bearded-barrel-brewery/42472/
 Bearded Bee Brewing Co,Wendell,Microbrewery,   5,2020,https://www.ratebeer.com/brewers/bearded-bee-brewing-co/44387/
 BearWaters Brewing Company,Canton,Microbrewery,   48,2012,https://www.ratebeer.com/brewers/bearwaters-brewing-company/14490/
 Beech Mountain Brewing Company,Beech Mountain,Microbrewery,   15,2014,https://www.ratebeer.com/brewers/beech-mountain-brewing-company/18796/
 Beer Army Combat Brewery,Trenton,Microbrewery,   12,2012,https://www.ratebeer.com/brewers/beer-army-combat-brewery/16767/
 Bhramari Brewing Co.,Asheville,Brewpub,   228,2016,https://www.ratebeer.com/brewers/bhramari-brewing-co/25747/
 Big Boss Brewing Company,Raleigh,Brewpub/Brewery,   96,2003,https://www.ratebeer.com/brewers/big-boss-brewing-company/4222/
 Big Game Brewing,Trenton,Microbrewery,   3,2019,https://www.ratebeer.com/brewers/big-game-brewing/39665/
 Bill's Front Porch Pub and Brewery,Wilmington ,Brewpub/Brewery,   37,2016,https://www.ratebeer.com/brewers/bills-front-porch-pub-and-brewery/28942/
 Biltmore Brewing Company,Asheville,Client Brewer,   4,2010,https://www.ratebeer.com/brewers/biltmore-brewing-company/11684/
 Birdsong Brewing Company,Charlotte,Microbrewery,   86,2011,https://www.ratebeer.com/brewers/birdsong-brewing-company/13469/
 Black Creek Brewery (US),Roxboro,Microbrewery,   31,2018,https://www.ratebeer.com/brewers/black-creek-brewery-us/35307/
 Black Mountain Brewing,Black Mountain,Microbrewery,   16,2018,https://www.ratebeer.com/brewers/black-mountain-brewing/37981/
 Blowing Rock Brewing Company,Blowing Rock,Brewpub/Brewery,   46,2009,https://www.ratebeer.com/brewers/blowing-rock-brewing-company/11031/
 Blue Blaze Brewing,Charlotte,Microbrewery,   21,2014,https://www.ratebeer.com/brewers/blue-blaze-brewing/20413/
 Blue Ghost Brewing Company,Fletcher,Microbrewery,   28,2016,https://www.ratebeer.com/brewers/blue-ghost-brewing-company/31103/
 Blue Mountain Pizza and Brew Pub (NC),Weaverville,Brewpub/Brewery,   34,2015,https://www.ratebeer.com/brewers/blue-mountain-pizza-and-brew-pub-nc/22645/
 Bombshell Beer Company,Holly Springs,Microbrewery,   91,2013,https://www.ratebeer.com/brewers/bombshell-beer-company/17169/
