name,url,city,type,established,beverage_count
 Barn Door Ciderworks,https://www.ratebeer.com/brewers/barn-door-ciderworks/45699/,Fletcher,Cidery,2021,   23
 Black Mountain Ciderworks,https://www.ratebeer.com/brewers/black-mountain-ciderworks/19526/,Black Mountain,Cidery,2014,   60
 Blackwater Cider,https://www.ratebeer.com/brewers/blackwater-cider/30819/,Windsor,Cidery,2017,   9
 Botanist and Barrel,https://www.ratebeer.com/brewers/botanist-and-barrel/34056/,Cedar Grove ,Cidery,2017,   108
 Bull City Ciderworks,https://www.ratebeer.com/brewers/bull-city-ciderworks/21179/,Durham,Cidery,2014,   44
 Chatham Cider Works,https://www.ratebeer.com/brewers/chatham-cider-works/38000/,Pittsboro,Cidery,2018,   4
 Daidala Ciders,https://www.ratebeer.com/brewers/daidala-ciders/36111/,Asheville,Cidery,2018,   9
 Fishing Creek Hard Cider,https://www.ratebeer.com/brewers/fishing-creek-hard-cider/37999/,Whitakers,Cidery,2018,   1
 Flat Rock Cider Company,https://www.ratebeer.com/brewers/flat-rock-cider-company/37586/,Flat Rock,Cidery,2018,   7
 James Creek Cider House,https://www.ratebeer.com/brewers/james-creek-cider-house/37998/,Cameron,Cidery,2018,   12
 McRitchie Ciderworks,https://www.ratebeer.com/brewers/mcritchie-ciderworks/8819/,Thurmond,Cidery,2007,   4
 Molley Chomper Hard Cider,https://www.ratebeer.com/brewers/molley-chomper-hard-cider/31055/,Lansing,Cidery,2017,   12
 Noble Cider,https://www.ratebeer.com/brewers/noble-cider/17407/,Fletcher,Cidery,2013,   54
 Red Clay Ciderworks,https://www.ratebeer.com/brewers/red-clay-ciderworks/23790/,Charlotte,Cidery,2015,   13
 Saint Paul Mountain Vineyards,https://www.ratebeer.com/brewers/saint-paul-mountain-vineyards/37997/,Hendersonville,Cidery,2018,   4
 Urban Orchard Cider Co.,https://www.ratebeer.com/brewers/urban-orchard-cider-co/18214/,Asheville,Cidery,2013,   90
 Wild Blossom Cider by Sycamore,https://www.ratebeer.com/brewers/wild-blossom-cider-by-sycamore/37924/,Charlotte,Cidery,2018,   5
