name,url,city,type,established,beverage_count
 Alchemy Herbal Wine,https://www.ratebeer.com/brewers/alchemy-herbal-wine/48009/,Leicester,Meadery,2021,   7
 Asheville Meadery LLC,https://www.ratebeer.com/brewers/asheville-meadery-llc/49758/,Marshall,Meadery,2022,   2
 Bee & Bramble,https://www.ratebeer.com/brewers/bee-bramble/22612/,Fairview,Meadery,2015,   7
 Fox Hill Meadery,https://www.ratebeer.com/brewers/fox-hill-meadery/10082/,Marshall,Meadery,2008,   7
 Honeygirl Meadery,https://www.ratebeer.com/brewers/honeygirl-meadery/31391/,Durham,Meadery,2017,   27
 Keeper's Cut Meadery,https://www.ratebeer.com/brewers/keeper39s-cut-meadery/42294/,Marion,Meadery,2019,   1
 Moon Dog Meadery,https://www.ratebeer.com/brewers/moon-dog-meadery/49806/,Durham,Meadery,2022,   1
 Norsemen's Mead Co.,https://www.ratebeer.com/brewers/norsemen39s-mead-co/49847/,Raleigh,Meadery,2018,   1
 Stardust Cellars,https://www.ratebeer.com/brewers/stardust-cellars/49805/,Wilkesboro,Meadery,2022,   10
 Starrlight Mead,https://www.ratebeer.com/brewers/starrlight-mead/13194/,Pittsboro,Meadery,2011,   35
 Wehrloom Meadery,https://www.ratebeer.com/brewers/wehrloom-meadery/47244/,Robbinsville,Meadery,2021,   2
 World’s Edge Meadery,https://www.ratebeer.com/brewers/world%E2%80%99s-edge-meadery/40746/,Hendersonville,Meadery,2019,   1
